RecordId,DateTime,Site,ButterflyCount,Lat,Lon,WalkStage,Weekday
1886,2017-03-03 12:36:00, Westgate Park,0,-37.8318,144.9085,4_4_1,Friday
1887,2017-03-03 12:01:00, Westgate Park,0,-37.8316,144.9088,4_4_1,Friday
1888,2017-02-09 12:56:00, Fitzroy-Treasury Gardens,0,-37.814,144.9793,4_5_1,Thursday
1889,2017-03-11 16:23:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9796,4_5_1,Saturday
1890,2017-03-11 16:16:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9792,4_5_1,Saturday
1891,2017-03-11 16:46:00, Fitzroy-Treasury Gardens,0,-37.814,144.9792,4_5_1,Saturday
1892,2017-03-11 16:27:00, Fitzroy-Treasury Gardens,0,-37.8141,144.9795,4_5_1,Saturday
1893,2017-02-09 13:04:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9793,4_5_1,Thursday
1894,2017-02-09 13:18:00, Fitzroy-Treasury Gardens,0,-37.8141,144.9794,4_5_1,Thursday
1895,2017-01-28 14:00:00, Princes Park,0,-37.791,144.9603,4_5_1,Saturday
1896,2017-02-18 11:51:00, Royal Park,0,-37.782,144.9451,4_5_1,Saturday
1897,2017-01-25 12:19:00, Royal Park,0,-37.7819,144.9461,4_5_1,Wednesday
1898,2017-02-18 12:05:00, Royal Park,0,-37.7819,144.9456,4_5_1,Saturday
1899,2017-02-18 12:43:00, Royal Park,0,-37.7821,144.9473,4_5_1,Saturday
1900,2017-02-18 12:47:00, Royal Park,0,-37.7821,144.9473,4_5_1,Saturday
1901,2017-02-18 11:39:00, Royal Park,0,-37.7821,144.945,4_5_1,Saturday
1902,2017-02-18 00:28:00, Royal Park,0,-37.7822,144.9472,4_5_1,Saturday
1903,2017-01-25 11:40:00, Royal Park,0,-37.7818,144.9459,4_5_1,Wednesday
1904,2017-01-25 11:54:00, Royal Park,0,-37.7819,144.9459,4_5_1,Wednesday
1905,2017-01-25 11:36:00, Royal Park,0,-37.7819,144.946,4_5_1,Wednesday
1906,2017-01-25 12:08:00, Royal Park,0,-37.7819,144.9461,4_5_1,Wednesday
1907,2017-02-02 16:01:00, Westgate Park,0,-37.8301,144.9073,4_5_1,Thursday
1908,2017-03-06 11:27:00, Westgate Park,0,-37.83,144.9075,4_5_1,Monday
1909,2017-02-02 15:46:00, Westgate Park,0,-37.8301,144.9075,4_5_1,Thursday
1910,2017-03-06 11:55:00, Westgate Park,0,-37.8302,144.9071,4_5_1,Monday
1911,2017-02-02 16:16:00, Westgate Park,0,-37.8303,144.9069,4_5_1,Thursday
1912,2017-02-02 15:29:00, Westgate Park,0,-37.83,144.9087,4_5_1,Thursday
1913,2017-03-06 10:46:00, Westgate Park,0,-37.8301,144.9075,4_5_1,Monday
1914,2017-01-27 15:58:00, Princes Park,0,-37.7855,144.9629,4_6_1,Friday
1915,2017-02-27 14:32:00, Princes Park,0,-37.7856,144.9626,4_6_1,Monday
1916,2017-02-27 14:15:00, Princes Park,0,-37.7855,144.963,4_6_1,Monday
1917,2017-01-27 16:13:00, Princes Park,0,-37.7852,144.9631,4_6_1,Friday
1918,2017-02-27 14:35:00, Princes Park,0,-37.7855,144.9626,4_6_1,Monday
1919,2017-02-27 14:55:00, Princes Park,0,-37.7851,144.9631,4_6_1,Monday
1920,2017-01-22 11:01:00, Royal Park,0,-37.7817,144.9433,4_6_1,Sunday
1921,2017-01-22 11:16:00, Royal Park,0,-37.7816,144.9429,4_6_1,Sunday
1922,2017-02-16 12:54:00, Royal Park,0,-37.7817,144.9432,4_6_1,Thursday
1923,2017-02-16 13:21:00, Royal Park,0,-37.7817,144.9431,4_6_1,Thursday
1924,2017-02-16 13:49:00, Royal Park,0,-37.782,144.9424,4_6_1,Thursday
1925,2017-01-22 11:34:00, Royal Park,0,-37.7818,144.9423,4_6_1,Sunday
1926,2017-01-17 11:06:00, Royal Park,0,-37.7904,144.9572,4_7_1,Tuesday
1927,2017-02-21 11:19:00, Royal Park,0,-37.7893,144.9555,4_7_1,Tuesday
1928,2017-02-21 11:24:00, Royal Park,0,-37.7893,144.9555,4_7_1,Tuesday
1929,2017-02-21 12:08:00, Royal Park,0,-37.7889,144.9549,4_7_1,Tuesday
1930,2017-01-17 11:45:00, Royal Park,0,-37.7907,144.9572,4_7_1,Tuesday
1931,2017-01-17 11:24:00, Royal Park,0,-37.7905,144.9573,4_7_1,Tuesday
1932,2017-02-21 10:50:00, Royal Park,0,-37.7903,144.9566,4_7_1,Tuesday
1933,2017-02-21 10:31:00, Royal Park,0,-37.789,144.9566,4_7_1,Tuesday
1934,2017-01-17 09:34:00, Royal Park,0,-37.7895,144.957,4_7_1,Tuesday
1935,2017-02-21 11:47:00, Royal Park,0,-37.789,144.956,4_7_1,Tuesday
1936,2017-02-21 11:05:00, Royal Park,0,-37.7894,144.9561,4_7_1,Tuesday
1937,2017-01-17 11:58:00, Royal Park,0,-37.7909,144.9568,4_7_1,Tuesday
1938,2017-01-17 10:45:00, Royal Park,0,-37.7902,144.9573,4_7_1,Tuesday
1939,2017-02-21 10:34:00, Royal Park,0,-37.789,144.9566,4_7_1,Tuesday
1940,2017-02-21 11:43:00, Royal Park,0,-37.789,144.9549,4_7_1,Tuesday
1941,2017-02-21 12:05:00, Royal Park,0,-37.7953,144.952,4_7_1,Tuesday
1942,2017-01-17 09:39:00, Royal Park,0,-37.7895,144.957,4_7_1,Tuesday
1943,2017-02-24 15:08:00, Royal Park,0,-37.7892,144.943,4_8_1,Friday
1944,2017-02-24 14:14:00, Royal Park,0,-37.7886,144.9439,4_8_1,Friday
1945,2017-02-24 15:30:00, Royal Park,0,-37.7892,144.9436,4_8_1,Friday
1946,2017-02-24 14:41:00, Royal Park,0,-37.7891,144.9428,4_8_1,Friday
1947,2017-01-18 16:43:00, Royal Park,0,-37.7887,144.9439,4_8_1,Wednesday
1948,2017-02-24 14:29:00, Royal Park,0,-37.7894,144.9428,4_8_1,Friday
1949,2017-02-24 15:03:00, Royal Park,0,-37.7893,144.9427,4_8_1,Friday
1950,2017-01-18 17:06:00, Royal Park,0,-37.7892,144.9426,4_8_1,Wednesday
1951,2017-01-18 17:47:00, Royal Park,0,-37.7888,144.9439,4_8_1,Wednesday
1952,2017-01-18 17:30:00, Royal Park,0,-37.7891,144.9423,4_8_1,Wednesday
1953,2017-01-18 17:23:00, Royal Park,0,-37.7893,144.9427,4_8_1,Wednesday
1954,2017-02-22 11:19:00, Royal Park,0,-37.7915,144.9571,4_9_1,Wednesday
1955,2017-02-22 13:24:00, Royal Park,0,-37.7918,144.9563,4_9_1,Wednesday
1956,2017-02-22 12:07:00, Royal Park,0,-37.7915,144.9567,4_9_1,Wednesday
1957,2017-02-22 11:38:00, Royal Park,0,-37.7915,144.957,4_9_1,Wednesday
1958,2017-02-22 13:38:00, Royal Park,0,-37.7919,144.9566,4_9_1,Wednesday
1959,2017-02-22 13:12:00, Royal Park,0,-37.7916,144.9578,4_9_1,Wednesday
1960,2017-02-22 12:55:00, Royal Park,0,-37.7916,144.9566,4_9_1,Wednesday
1961,2017-01-24 11:28:00, Royal Park,0,-37.7908,144.9566,4_9_1,Tuesday
1962,2017-02-22 12:42:00, Royal Park,0,-37.7917,144.9567,4_9_1,Wednesday
1963,2017-02-22 11:02:00, Royal Park,0,-37.7915,144.9572,4_9_1,Wednesday
1964,2017-02-22 11:52:00, Royal Park,0,-37.7916,144.9571,4_9_1,Wednesday
1965,2017-01-24 00:01:00, Royal Park,0,-37.7912,144.9569,4_9_1,Tuesday
1966,2017-01-24 11:46:00, Royal Park,0,-37.7912,144.9561,4_9_1,Tuesday
1967,2017-02-22 00:27:00, Royal Park,0,-37.7916,144.9567,4_9_1,Wednesday
1968,2017-02-22 12:10:00, Royal Park,0,-37.7915,144.9567,4_9_1,Wednesday
1969,2017-02-22 12:24:00, Royal Park,0,-37.7916,144.9567,4_9_1,Wednesday
1970,2017-03-11 11:45:00, Fitzroy-Treasury Gardens,0,-37.8135,144.975,4_1_2,Saturday
1971,2017-03-11 12:06:00, Fitzroy-Treasury Gardens,0,-37.8146,144.9749,4_1_2,Saturday
1972,2017-01-16 17:40:00, Lincoln Square,0,-37.8023,144.9633,4_1_2,Monday
1973,2017-02-13 15:15:00, Lincoln Square,0,-37.8023,144.9631,4_1_2,Monday
1974,2017-01-16 18:34:00, Lincoln Square,0,-37.8023,144.9632,4_1_2,Monday
1975,2017-02-13 16:33:00, Lincoln Square,0,-37.8023,144.9632,4_1_2,Monday
1976,2017-01-16 18:30:00, Lincoln Square,0,-37.8023,144.9632,4_1_2,Monday
1977,2017-01-16 18:14:00, Lincoln Square,0,-37.8024,144.9634,4_1_2,Monday
1978,2017-02-13 16:49:00, Lincoln Square,0,-37.8022,144.9632,4_1_2,Monday
1979,2017-02-13 16:31:00, Lincoln Square,0,-37.8023,144.9632,4_1_2,Monday
1980,2017-01-16 17:35:00, Lincoln Square,0,-37.8022,144.9632,4_1_2,Monday
1981,2017-01-16 17:02:00, Lincoln Square,0,-37.8023,144.9642,4_1_2,Monday
1982,2017-02-13 15:29:00, Lincoln Square,0,-37.8023,144.9633,4_1_2,Monday
